seed,sourceStateId,twinStateId,elementCount,structuredTotal,randomPositionTotal,delta
1,86a3677c,a357a25b,8,64.54261784090068,59.29177736642532,5.250840474475353
2,a081e956,ae9ec30e,9,66.73434129622152,59.901415670229866,6.832925625991649
3,77c0bf1c,28189ebc,10,69.8282754198337,64.62264420490104,5.205631214932666
4,035be253,134cc6c2,9,77.19677541604531,67.92414271498492,9.272632701060388
5,2f12f441,cc5060bf,10,71.28318081344932,71.24422494884857,0.03895586460075151
6,4b9c24a9,95d4cd46,8,68.5480375638925,63.09829917184062,5.449738392051884
7,8509070d,5be23d3d,9,68.14757757217804,58.25171402251228,9.895863549665755
8,df52700e,574d8ccb,11,71.60809304361983,64.97880691523923,6.629286128380599
9,591a5317,8304c8e6,11,73.69849479546448,72.22164106007111,1.4768537353933766
10,68a8f53c,d75772f3,9,70.69355023262278,62.43540877276706,8.258141459855722
11,43a61854,186501a2,10,63.26708443052527,61.74373307279235,1.5233513577329205
12,e810d9e8,686b14a1,10,69.61361298801353,60.339960018780694,9.273652969232835
13,0b7f84b9,87e5d92c,10,64.70846548294317,60.33777999323255,4.370685489710617
14,bc72164c,d4c592f8,11,64.16187594783835,62.63199828717713,1.5298776606612208
15,bcd51945,cce3af57,11,75.48293420479891,66.3436870031355,9.139247201663409
16,5c09b529,9d0f9f7b,12,63.91351656733691,60.84875033391711,3.064766233419803
17,71db5c14,18dc9837,8,70.32256261145592,60.973901927726075,9.348660683729847
18,d2944b50,857e1c6a,9,68.48956535405188,60.309018607139436,8.18054674691244
19,6a824f4c,868fbb1c,11,76.367156479598,66.0535358533511,10.313620626246902
20,a073bae4,3f7d06ba,10,68.70308544440222,65.22084394677005,3.482241497632174
21,5015895b,38f5ebe1,11,71.32428810397829,64.00325573526474,7.321032368713546
22,809c2124,6210efd7,13,62.5737690719843,60.287075734950115,2.286693337034187
23,7da191be,27bfb5c8,10,65.8018687229554,64.5233828231133,1.27848589984211
24,16ff2b22,61d9bb73,8,65.85032265160416,56.74203531104218,9.10828734056198
25,3ecf01e7,9b5d0c46,11,69.82480447873408,68.35806533856545,1.4667391401686274
26,57d2ea6a,7e6c9214,7,63.922697681837064,64.43412613076273,-0.5114284489256704
27,8b3cfa39,dedef774,12,72.21901279143478,62.77366598162378,9.445346809811
28,7a17105c,f4ee265e,11,65.4899753427825,61.41392844632476,4.07604689645774
29,9626d4be,3c031310,9,66.74280682825152,66.81445222342974,-0.07164539517822277
30,e4bce30c,59ec1309,10,75.7340574421721,63.27089121570066,12.463166226471444
31,b7e618f8,3e5bba83,6,71.42862847713198,65.2959275730984,6.132700904033584
32,0127fde1,0cec2e1c,8,64.20029644087944,59.14275252670642,5.057543914173024
33,f944b3fb,9aee60b4,12,76.53278411553843,66.92242958139279,9.610354534145642
34,a9dcc04e,68f22244,9,70.8886347583648,69.06419384184174,1.8244409165230593
35,a52e3d43,5ee27174,7,69.86866312335799,63.30126352127523,6.567399602082759
36,b5d3a5ae,0b2c899b,7,66.33649289605282,52.731640983665535,13.604851912387282
