seed,sourceStateId,twinStateId,elementCount,sourceScorable,twinScorable,sourceGate,twinGate,sourceTotal,twinTotal,delta,outcome,delta_hierarchy,delta_grouping,delta_structure,delta_flow,delta_spatial,delta_variety,r1Sign,r1SignReversedArrays
1,86a3677c,a357a25b,8,true,true,,,52.44673629653009,52.72173754990901,-0.27500125337891745,reversal,0.32782602118200543,-0.22394266241589733,1.5376984126984157,-0.9198996793317935,-1.3171035994801654,0,-1,-1
2,a081e956,ae9ec30e,9,true,true,,,53.491009072287866,51.874448105297915,1.616560966989951,win,0.019115761107427964,-0.857498340091083,0.9036651435078342,-0.388693697758856,1.7477391657879786,0.00006630924468620236,1,1
3,77c0bf1c,28189ebc,10,true,true,,,57.10801267011108,51.80356354084176,5.304449129269322,win,0.03103833686209878,0,1.1666666666666634,2.105845070052248,-0.26125560760570465,-8.881784197001252e-16,1,1
4,035be253,134cc6c2,9,true,true,,,55.351329953816744,50.07704220712151,5.2742877466952365,win,0.20504555421898418,1.7763568394002505e-15,2.1759259259259274,0.23985042579472182,0.4129256195118014,0,1,1
5,2f12f441,cc5060bf,10,true,true,,,53.06621401021108,51.35248974211129,1.7137242680997886,win,0.021932075166883003,0.004162627842077882,1.3831663296469987,-0.611210234257701,0.15604287889660373,0.008325255684151323,1,1
6,4b9c24a9,95d4cd46,8,true,true,,,56.754785355489474,55.388049893762656,1.3667354617268188,win,-0.1511448835392768,0,1.121031746031747,-0.08133218663606634,-0.11608402588666333,1.7763568394002505e-15,1,1
7,8509070d,5be23d3d,9,true,true,,,59.63919284604428,50.30757097493924,9.331621871105042,win,0.8872450981644997,0.3495253917947432,1.80555555555555,0.6484612957818268,1.777702458227819,5.329070518200751e-15,1,1
8,df52700e,574d8ccb,11,true,true,,,55.23340078991582,56.315380684789076,-1.0819798948732569,reversal,-0.13830932763322767,-0.00007213397088534634,1.8737494263813907,-0.7419173041004914,-2.1516889115698143,-0.0001442679417698045,-1,-1
9,591a5317,8304c8e6,11,true,true,,,55.077058466772215,46.1145017422845,8.962556724487712,win,0.20230301741428214,1.6717290299977128,1.7626262626262585,0.7028381307694591,0.6484362890485809,7.549516567451064e-15,1,1
10,68a8f53c,d75772f3,9,true,true,,,58.49856671091036,55.5665810465161,2.9319856643942614,win,0.10213080983224199,0,1.875,-0.90234128910582,0.656697843290905,-2.6645352591003757e-15,1,1
11,43a61854,186501a2,10,true,true,,,57.82243290851536,54.42768312280269,3.394749785712669,win,-0.18706523106509243,-0.00022175192454376713,2.0009767715611435,-0.23291654084052738,0.4816796274690862,-0.000443503849091087,1,1
12,e810d9e8,686b14a1,10,true,true,,,58.06546772693979,52.4061233410551,5.659344385884687,win,0.12176675462128772,-0.16954203592637818,1.4999999999999867,1.193944543211222,0.8034460732536051,-6.217248937900877e-15,1,1
13,0b7f84b9,87e5d92c,10,true,true,,,54.13876031809294,50.06175425744065,4.077006060652295,win,0.05801543098532802,-0.014019006909986587,1.397855649561313,0.47710872027332574,0.542925748153567,-0.028038013819971397,1,1
14,bc72164c,d4c592f8,11,true,true,,,58.75458757455859,55.326255913064614,3.428331661493978,win,0.07211207681872356,0,1.3636363636363669,-0.5453069142154607,1.3145137760101147,0,1,1
15,bcd51945,cce3af57,11,true,true,,,55.64898429944225,51.00633647921471,4.642647820227538,win,0.24133209556666957,-1.7763568394002505e-15,1.1161616161616141,0.2050306705424827,1.3352618794992868,-3.552713678800501e-15,1,1
16,5c09b529,9d0f9f7b,12,true,true,,,58.11034981438602,54.67910293348088,3.4312468809051424,win,-0.21874808487950181,0.0024803070431929086,1.6263403693906326,-0.4538866431199384,1.32947885906085,0.00496061408638937,1,1
17,71db5c14,18dc9837,8,true,true,,,56.885346340224174,53.17653342894054,3.708812911283637,win,0.07741975996721373,0,1.587301587301587,-0.12458441082376037,0.6919051473116182,0,1,1
