seed,structuredStateId,randomPositionStateId,elementCount,structuredTotal,randomPositionTotal,delta,hierarchy_weightedDelta,grouping_weightedDelta,structure_weightedDelta,flow_weightedDelta,spatial_weightedDelta,harmony_weightedDelta
22,809c2124,672ad19f,13,62.5738,62.6064,-0.0327,-5.3779,-0.503,6.2359,-0.875,0.4874,0
26,57d2ea6a,e449ed09,7,63.9227,65.666,-1.7433,-4.0354,-4.4518,4.2667,1.75,0.7272,0
29,9626d4be,d469f5b0,9,66.7428,68.136,-1.3932,-4.7399,-0.4963,5.2148,-1.6875,0.3158,0
41,2bbe2b10,17cdeab2,11,64.9124,65.2113,-0.2989,-4.1095,-1.9803,6.9818,-1.65,0.4591,0
56,a91fc802,2497f945,11,72.3586,72.4508,-0.0923,-5.3188,0.3849,6.5939,-1.95,0.1977,0
60,65fdc0f4,c31d3fcc,10,69.7862,71.3744,-1.5882,-8.8171,-0.4401,6.4,1,0.269,0
76,1f8847f3,249220c5,12,62.8061,64.0005,-1.1944,-5.0759,0.3077,6.0444,-3,0.5294,0
153,f8976ed1,18822443,9,69.894,71.6991,-1.805,-4.8407,-2.346,5.2148,0.5625,-0.3957,0
161,8e5f220a,e01c3696,7,61.0184,63.6764,-2.658,-4.1643,-4.7898,6.7048,-0.75,0.3413,0
171,600efb1d,d36069fa,7,59.4146,60.4872,-1.0726,-4.6068,0.0063,7.3143,-4.5,0.7136,0
176,c3738146,6759dc13,10,66.5896,69.6088,-3.0191,-5.659,-0.731,5.5467,-2.5,0.3242,0
199,f1e6c44f,cdf80721,10,71.0201,72.1811,-1.161,-4.8267,-1.4148,5.5467,0,-0.4662,0
209,004dcb9e,ead23a9b,8,62.4565,63.0425,-0.586,-4.3803,-2.4867,7.4667,-1.2857,0.1,0
220,31b6ed6c,7d8ccc2f,14,70.6767,72.0796,-1.4029,-5.2334,-0.9847,6.0952,-1.2692,-0.0108,0
235,e733b686,a77abaec,8,63.0965,63.2566,-0.16,-5.1835,0.2313,6.9333,-2.3571,0.216,0
